csv_row,id,respondent_id_text,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
57,20235c86-de4c-4bcf-a185-edf00af9f960,263,,17,,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,3
58,20ef3677-0acf-4b00-b9fa-e57535fb7307,529,,17,,4,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
59,219dec00-9c71-442a-9d69-d092fa6f822c,486,,17,,3,4,4,4,4,4,2,2,4,4,2,2,4,3,3,4,3,4,3,3,4,4,4,3,4,4,4,2,5,4,4,4
60,22f3b9d0-9da5-4e3e-83bc-09cd4e9fb3e7,423,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,1
61,24010b42-ac20-4210-bf47-41d488bbf305,504,,18,,4,4,2,2,4,4,2,2,4,4,2,2,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3
62,242e3998-ef17-460d-ad27-53abf28c8571,143,,17,,4,5,4,2,4,5,2,2,5,5,2,1,5,5,2,2,5,5,2,2,5,5,1,1,5,4,1,1,5,5,5,5
63,2448b326-e4aa-4051-9e07-343baf45aeeb,107,,17,,4,4,2,1,4,5,1,1,5,5,2,1,4,4,3,1,3,5,3,2,4,4,1,2,5,4,1,2,3,4,3,3
64,253af85c-9470-4638-a825-893a41426658,405,,18,,3,3,4,4,3,1,5,5,2,1,4,4,2,3,5,5,3,2,5,5,1,1,3,4,2,1,5,5,4,4,3,3
65,26699713-d111-43e6-a7fc-ff553410f6e6,151,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
66,27515832-0b48-4410-a2b9-eed8fbb07937,182,,18,,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1
67,27ed1d4c-5475-48ba-bc72-556ce79625b7,419,,18,,4,4,3,2,4,4,2,2,5,4,2,2,4,4,3,3,4,3,3,3,4,3,2,3,3,3,3,3,4,4,4,2
68,28b9afc0-0218-4a6b-8c0c-6b2c40322bea,44,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
69,29ac5e63-428a-46ad-9cb3-e7f5496d270e,178,,17,,4,4,4,3,4,4,1,1,5,5,1,2,4,5,1,2,4,4,1,2,5,5,1,2,1,4,1,2,5,5,2,2
70,29ea1a7d-3990-42a2-a029-82b58a391518,1,,17,,5,5,2,2,5,5,2,2,5,5,5,5,5,5,2,2,5,5,2,2,5,5,2,2,5,5,2,2,5,5,5,5
71,2a74cb76-6c40-41fa-b04f-bebfa9fc083f,330,,17,,5,5,5,3,5,5,1,1,5,5,5,1,5,4,5,1,5,5,1,1,5,5,1,1,5,5,5,1,5,5,5,5
72,2ad9a6e7-099a-44d5-b145-f72f3ba82f63,381,,17,,4,4,2,2,4,5,1,2,5,4,2,1,5,5,1,1,4,4,2,2,5,4,1,2,4,4,1,5,4,5,4,4
73,2b6841e2-b2f0-4012-9704-d31abcdb03e9,374,,17,,1,4,5,1,4,5,2,1,4,5,1,1,5,4,1,1,4,5,3,3,5,4,1,1,4,4,1,1,5,5,1,1
74,2b840b20-8af4-4aa1-94c4-2e29e59852c6,232,,18,,5,4,3,3,4,4,1,1,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,4,5,1,1,5,5,4,5
75,2baa7878-7fa6-4aec-a637-3c0a5373a698,233,,17,,4,4,2,2,4,3,1,2,4,4,2,2,3,3,2,2,4,4,2,2,4,4,2,2,4,4,2,2,5,5,3,3
76,2eadb361-c5dc-48e4-a128-2d5e2887d8fb,49,,19,,4,5,1,3,2,4,1,1,5,5,4,1,4,3,1,1,4,4,3,3,5,5,1,1,3,3,3,3,5,5,4,4
77,2f67d66e-525f-4834-9be7-fe14c5851b90,81,,18,,4,5,2,1,5,3,1,3,5,3,1,5,5,3,1,4,5,3,1,3,4,2,1,3,5,3,2,3,5,3,1,3
78,2f6e0d24-baa8-4344-8943-ef9d99fb479e,421,,18,,4,4,4,3,4,4,1,3,4,3,1,3,4,3,3,3,4,4,3,3,4,4,2,2,4,4,2,3,4,3,3,3
79,3123b386-7628-4851-a4fa-a005803e3258,430,,18,,4,5,1,1,5,5,1,1,5,5,1,1,5,4,3,3,4,4,2,3,5,4,2,1,5,4,2,1,4,4,5,4
80,31540e31-cc90-4e2e-84b0-0f0f9a7b1f6b,111,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
81,341ec071-4755-4319-a8d2-8b1af30821f5,4,,17,,3,3,3,2,4,4,2,2,4,3,3,2,3,3,1,2,2,4,2,2,4,3,2,2,3,3,3,2,4,4,4,3
82,345eb9c8-4f9d-47b7-8f12-04420b7b9bed,428,,17,,4,5,2,1,5,4,1,1,5,4,1,1,4,5,1,1,4,5,1,1,5,5,1,2,5,5,1,2,5,4,3,3
83,35b186ce-bdd2-4347-86c5-31eadacd41e7,173,,18,,3,3,3,3,4,4,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
84,35bdf4d1-77b8-47e6-bdf8-7d89cdc9aa0e,57,,17,,5,4,2,2,5,4,2,2,5,4,2,5,2,5,2,2,5,5,2,2,4,3,2,2,4,5,2,5,4,5,2,5
85,35ce588e-24bd-4cbe-a50c-ad77f77e5093,350,,17,,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
86,379375a4-49fb-48e4-bf3c-9d3e5fcc04dc,289,,17,,5,5,2,1,5,5,2,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
87,387aa40c-47cd-485f-916a-d6d3a5eaa420,97,,17,,4,4,2,2,4,3,1,1,3,4,1,1,5,4,2,2,4,4,2,2,4,5,1,2,4,4,2,2,4,4,1,1
88,38ced526-640a-4cbe-95dc-0371e471cb6b,439,,18,,4,4,3,3,5,5,2,3,4,4,2,2,3,3,3,3,3,4,2,3,3,3,2,3,3,4,3,3,4,5,3,3
89,3a7e6ceb-dba9-4e53-a45f-00db9ae2fac5,70,,18,,5,3,4,4,4,3,2,5,5,3,5,5,5,2,4,2,5,4,3,4,4,5,2,2,4,4,2,2,4,4,4,4
90,3bbded40-2901-4cf1-8805-74153539ad4c,417,,17,,4,5,1,3,3,3,1,1,4,4,1,1,4,4,1,1,4,4,1,4,4,4,1,1,4,4,1,1,5,5,5,5
91,3e12207c-dc1d-4339-b821-9a09acfb077b,140,,17,,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,5,5,3,3
92,3e728dc2-1d76-49c4-a330-abccfd44b67a,301,,18,,4,1,1,4,4,1,1,3,4,1,1,1,4,1,1,3,4,3,1,2,2,5,1,3,4,2,1,3,4,3,4,3
93,3e9227d7-409f-40dd-b760-477026960106,234,,17,,5,5,3,2,4,4,2,2,4,4,2,2,5,5,3,2,4,4,2,2,5,5,2,2,5,5,2,2,5,5,4,4
94,3e9c15c6-a35c-43a7-9eaa-5720a61720ff,157,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
95,3e9dace1-402a-48d7-b5a0-f2698aee9322,579,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
96,3eb7e9db-6c2b-4342-809e-56d4dea2038b,285,,17,,4,5,3,1,5,5,1,1,4,5,1,1,4,5,1,1,4,5,1,1,4,5,1,1,5,5,1,1,5,5,4,5
97,3eff5e4e-17c7-4d03-8be3-e0808b0f3c14,38,,18,,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1
98,3f920fa2-4071-477f-a175-8919bde32bcc,364,,17,,1,2,5,4,2,2,4,4,2,3,4,4,2,3,3,4,1,2,2,5,4,3,2,4,3,2,4,4,3,5,3,4
99,40d00e2e-7be0-446e-93f9-72c4e1dd09d3,285,,17,,3,5,3,1,4,4,2,1,2,4,3,4,2,5,2,2,4,5,3,4,4,5,2,1,5,5,1,1,5,5,5,5
100,41f9d17c-958f-468a-b312-cbb81ad5862e,125,,17,,3,3,2,3,5,3,2,3,4,3,2,3,5,3,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101,424f338b-7a18-4038-ba4f-501ba089e420,472,,18,,5,5,2,1,5,5,1,1,5,5,1,1,5,5,4,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,5,5
102,43dcaa5d-79c7-403e-a6db-07c7b6e56b50,440,,17,,5,5,4,1,5,5,1,1,5,5,2,5,5,5,1,1,5,5,1,1,5,5,1,1,1,5,1,1,5,5,5,5
103,46242757-5f3e-4c5e-9e60-d29ff448b2a6,329,,17,,5,5,3,3,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,5,5
104,4786b2ff-c9ee-4963-8a91-a699cd4670bb,290,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,3,1
105,4805ba06-fbd4-487d-a63c-86452b080ca5,264,,19,,5,5,4,3,4,3,1,1,5,5,1,1,5,4,3,3,5,5,1,5,5,5,1,1,4,5,1,1,5,5,5,5
106,480679fe-eeff-4931-849a-3250ffff5cbe,7,,18,,3,3,3,3,3,4,1,2,5,5,4,2,3,2,1,2,5,4,1,2,5,3,1,3,4,1,1,5,5,2,2,2
107,49c465d9-00e8-469b-a4ed-f76ad2463c64,582,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
108,4b0e4dd1-d0fa-4206-8ce7-b121055e7d74,267,,18,,3,4,4,4,5,3,2,5,3,4,3,5,2,3,2,5,4,5,4,2,3,4,3,3,5,2,5,2,3,5,3,3
109,4c4fdaef-cd90-4132-b533-9e41c636858e,263,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
110,4de9a253-babc-4fcd-b0f5-915f3dca7431,201,,18,,5,5,2,1,3,4,1,1,5,4,2,1,4,5,2,1,5,5,3,3,5,5,4,1,5,4,1,1,4,5,3,2
111,4e225b02-4ff2-4c7b-9bab-9adbed380ef4,209,,17,,4,4,1,1,5,5,1,1,5,5,1,1,4,4,1,1,5,4,1,1,5,5,1,1,4,5,1,1,3,5,3,3
112,4e4e6d5f-389a-4dcb-b6fe-330095a36a5d,335,,18,,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
113,4ea6a3ae-812d-4b4f-86a4-59e4f02c0ebe,250,,17,,4,5,1,3,3,4,1,2,5,5,1,3,4,3,1,3,3,4,2,1,5,5,1,1,4,3,2,3,4,4,3,3
114,4f00dff6-8688-4173-9a6e-91e4d1b5b58d,199,,17,,4,4,4,3,4,3,1,1,4,4,1,1,3,3,2,2,3,3,3,3,4,4,3,3,3,2,2,4,4,4,3,3
115,4f2c987a-989d-4de9-9f1f-aacc117fd600,108,,17,,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
116,50c5efda-db83-4755-851c-0156532a530c,541,,17,,4,4,2,2,4,4,2,2,5,5,2,2,4,4,1,1,4,4,2,1,5,5,2,2,4,4,1,2,4,5,5,5
117,50eac256-66f8-4ad3-a223-b723f527d723,85,,17,,5,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,2,4,5,1,2,5,5,4,4
118,51207ad9-10ff-4ab1-9ee5-c620194aeb31,30,,18,,4,5,2,2,5,5,1,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,1,2,5,4,1,1,5,5,1,1
119,51ac3080-2858-4702-94fe-a0d2bd011289,342,,17,,4,4,3,1,4,3,1,1,4,3,3,3,3,4,1,1,3,3,3,2,3,4,2,1,3,4,2,1,4,4,3,4
120,51f8b4bd-d76c-40f9-af94-25c6f9b3e157,208,,18,,5,5,2,1,5,5,5,5,5,5,5,5,4,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
121,52300fd1-0014-4ff6-a0e7-e4e624361c60,363,,16,,4,4,3,3,5,5,1,1,4,4,1,1,4,4,2,2,5,5,3,3,4,4,1,1,5,5,1,1,5,5,1,1
122,5241f5e4-c73d-4033-8847-f0580e8bc3e7,174,,17,,4,4,3,1,4,5,1,1,3,4,2,4,4,5,1,1,4,5,1,1,4,5,1,2,4,4,2,2,5,5,1,2
123,5261c8d1-a7fc-4cda-b668-758005f755e8,153,,18,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
124,529d6d65-d100-425c-9f77-cdc4d7f6b328,302,,17,,4,3,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,4,4,3,3,4,3,3,4,4,4,4,3,3
125,52bd32bd-ba64-4c46-8020-848fcb3751ad,579,,18,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,2,2
126,52d81ced-637c-4ba4-9a5e-c78255d7eafb,43,,17,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
127,53070b25-9d55-4f03-be46-709ec2188ce4,398,,17,,4,5,3,2,4,3,2,1,3,3,1,5,3,4,2,3,4,4,3,4,3,5,2,1,3,3,2,3,5,4,3,3
128,53e15dba-7530-48f5-9ab0-84dc7d2bf0e9,360,,17,,4,4,2,2,5,5,1,2,5,4,2,2,5,5,1,1,5,5,2,2,4,3,2,1,3,5,2,1,4,5,4,4
129,547df7b8-31d1-4d94-adb4-384975e2c229,212,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
130,54846310-2187-4942-b3e0-d1c631cf9228,561,,17,,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
131,559c5d5f-d410-4dd8-81ff-071aea6c50d6,341,,18,,4,4,3,3,5,4,2,3,4,4,3,3,4,4,2,4,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,3
132,56ab70c9-36d4-4270-a6d1-33ab173b3fbe,28,,17,,4,4,2,2,4,4,2,2,4,3,2,2,3,4,2,2,4,4,3,3,4,4,2,2,4,4,2,2,4,4,4,4
133,576ff104-6bf4-4a11-908f-38b36a6fa6f8,42,,17,,3,4,2,2,4,4,1,2,5,4,2,2,3,4,1,1,3,3,1,2,4,4,1,1,4,3,1,1,4,3,2,2
134,57f66e18-243e-4bd7-8da8-1627ff20e81b,189,,17,,4,4,4,4,4,4,2,2,4,4,3,4,3,4,2,3,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4
135,580e20ea-974e-4ff6-8c4b-c06cf924452e,227,,17,,5,5,3,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
136,58f7946a-21e0-40ae-b373-7c3e88b02c05,562,,17,,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,3,5,5,5,1,5,5,5,1,5,5,5,2
137,59f78b79-2e42-4a1d-b75e-af4e568e4335,284,,17,,4,4,2,1,4,4,2,1,4,5,1,1,3,4,1,1,4,5,1,1,5,5,1,1,3,4,1,1,5,5,5,5
138,5ac1ff80-e792-4ceb-97a7-ec2cba8836bb,511,,18,,4,4,3,4,4,4,1,4,5,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4
139,5c27b513-db92-4bc0-a5d8-22ecc5d84881,469,,17,,3,4,2,1,4,4,1,1,5,5,1,2,4,3,2,3,3,4,2,2,4,5,1,1,4,4,2,2,5,5,5,5
